6729
TOTAL_RESOURCE_FOOD_COLLECTED       : 1090
TOTAL_RESOURCE_STONE_COLLECTED      : 1360
TOTAL_RESOURCE_WOOD_COLLECTED       : 827
TOTAL_HOUSES_BUILT                  : 1
TOTAL_ARMY_CENTRE_SPAWNED           : 0
TOTAL_CIVILIANS_SPAWNED             : 82
TOTAL_SHORT_RANGE_ARMY_SPAWNED      : 0
TOTAL_LONG_RANGE_ARMY_SPAWNED       : 0
TOTAL_ATTACK_ON_HOUSES              : 0
TOTAL_ATTACK_ON_ARMY_SPAWNERS       : 0
TOTAL_ATTACK_ON_CIVILIANS           : 138
TOTAL_ATTACK_ON_SHORT_RANGE_ARMIES  : 7
TOTAL_ATTACK_ON_LONG_RANGE_ARMIES   : 0
TOTAL_ATTACK_ON_TOWNCENTERS         : 10
TOTAL_KILL_ON_HOUSES                : 0
TOTAL_KILL_ON_ARMY_SPAWNERS         : 0
TOTAL_KILL_ON_CIVILIANS             : 11
TOTAL_KILL_ON_SHORT_RANGE_ARMIES    : 0
TOTAL_KILL_ON_LONG_RANGE_ARMIES     : 0
TOTAL_KILL_ON_TOWNCENTERS           : 1
TOTAL_TIME                          : 0
TOTAL_SCORE                         : 6729
